DepartmentCategory,DepartmentName,TotalVisits,TotalRevenueINR,RevenueRankWithinCategory
Diagnostic & Cancer Care,Nuclear Medicine,1133,38413444.00,1
Diagnostic & Cancer Care,Radiology,1137,38185123.00,2
Diagnostic & Cancer Care,Pathology,1138,37801094.00,3
Diagnostic & Cancer Care,Oncology,1139,27931733.00,4
Emergency & Support Services,Emergency Medicine,8638,353915151.00,1
Emergency & Support Services,Clinical Pharmacology,1140,41347560.00,2
Emergency & Support Services,Rehabilitation Medicine,1137,40248828.00,3
Emergency & Support Services,Anesthesiology,1139,37129392.00,4
Internal Medicine,Cardiology,6135,141019648.00,1
Internal Medicine,Allergy and Immunology,1135,39692142.00,2
Internal Medicine,Infectious Diseases,1137,35863253.00,3
Internal Medicine,Hematology,1134,34940843.00,4
Internal Medicine,Gastroenterology,1133,34073650.00,5
Internal Medicine,Pulmonology,1135,33850356.00,6
Internal Medicine,Nephrology,1139,32741889.00,7
Internal Medicine,Rheumatology,1138,32437535.00,8
Internal Medicine,Endocrinology,1137,31704021.00,9
Internal Medicine,Neurology,1136,26868152.00,10
Primary & Preventive Care,Occupational Medicine,1134,43339771.00,1
Primary & Preventive Care,Sleep Medicine,1134,42890171.00,2
Primary & Preventive Care,Family Medicine,1138,41954923.00,3
Primary & Preventive Care,Geriatrics,1137,40996735.00,4
Primary & Preventive Care,Pediatrics,1139,28674163.00,5
Specialty Care,Otolaryngology,1133,30052276.00,1
Specialty Care,Ophthalmology,1135,29361478.00,2
Specialty Care,Dermatology,1137,29011015.00,3
Surgical Specialties,Sports Medicine,1137,42683388.00,1
Surgical Specialties,Pain Management,1134,39443587.00,2
Surgical Specialties,Obstetrics and Gynecology,1136,35496898.00,3
Surgical Specialties,Urology,1138,33409845.00,4
Surgical Specialties,Plastic Surgery,1136,31010410.00,5
Surgical Specialties,General Surgery,1135,30719402.00,6
Surgical Specialties,Orthopedics,1137,27271319.00,7
