MonthStart,TotalVisits,CumulativeVisits,YearOverYearVisitGrowthPercent
2020-01-01,434,434,
2020-02-01,386,820,
2020-03-01,434,1254,
2020-04-01,410,1664,
2020-05-01,420,2084,
2020-06-01,412,2496,
2020-07-01,420,2916,
2020-08-01,422,3338,
2020-09-01,411,3749,
2020-10-01,420,4169,
2020-11-01,412,4581,
2020-12-01,419,5000,
2021-01-01,517,5517,19.12
2021-02-01,458,5975,18.65
2021-03-01,505,6480,16.36
2021-04-01,493,6973,20.24
2021-05-01,516,7489,22.86
2021-06-01,493,7982,19.66
2021-07-01,505,8487,20.24
2021-08-01,517,9004,22.51
2021-09-01,493,9497,19.95
2021-10-01,504,10001,20.00
2021-11-01,493,10494,19.66
2021-12-01,506,11000,20.76
2022-01-01,647,11647,25.15
2022-02-01,573,12220,25.11
2022-03-01,631,12851,24.95
2022-04-01,617,13468,25.15
2022-05-01,645,14113,25.00
2022-06-01,617,14730,25.15
2022-07-01,631,15361,24.95
2022-08-01,646,16007,24.95
2022-09-01,616,16623,24.95
2022-10-01,629,17252,24.80
2022-11-01,617,17869,25.15
2022-12-01,631,18500,24.70
2023-01-01,733,19233,13.29
2023-02-01,650,19883,13.44
2023-03-01,715,20598,13.31
2023-04-01,699,21297,13.29
2023-05-01,730,22027,13.18
2023-06-01,699,22726,13.29
2023-07-01,715,23441,13.31
2023-08-01,732,24173,13.31
2023-09-01,699,24872,13.47
2023-10-01,713,25585,13.35
2023-11-01,699,26284,13.29
2023-12-01,716,27000,13.47
2024-01-01,911,27911,24.28
2024-02-01,812,28723,24.92
2024-03-01,910,29633,27.27
2024-04-01,862,30495,23.32
2024-05-01,883,31378,20.96
2024-06-01,864,32242,23.61
2024-07-01,883,33125,23.50
2024-08-01,884,34009,20.77
2024-09-01,863,34872,23.46
2024-10-01,882,35754,23.70
2024-11-01,862,36616,23.32
2024-12-01,884,37500,23.46
2025-01-01,1078,38578,18.33
2025-02-01,953,39531,17.36
2025-03-01,1053,40584,15.71
2025-04-01,1028,41612,19.26
2025-05-01,1075,42687,21.74
2025-06-01,1027,43714,18.87
2025-07-01,1052,44766,19.14
2025-08-01,1077,45843,21.83
2025-09-01,1028,46871,19.12
2025-10-01,1051,47922,19.16
2025-11-01,1026,48948,19.03
2025-12-01,1052,50000,19.00
